Ticket; Resolution Date; Percentage of tickets without fixDate
STDCXX-1063;2012-02-19;13.696369636963695%
STDCXX-1062;2012-02-19
STDCXX-1060;2012-02-19
STDCXX-1058;2012-06-26
STDCXX-1052;2011-03-05
STDCXX-1049;2010-07-04
STDCXX-1047;2012-01-18
STDCXX-1042;2009-09-04
STDCXX-1037;2009-08-14
STDCXX-1035;2009-05-07
STDCXX-1033;2009-04-07
STDCXX-1026;2008-12-10
STDCXX-1025;2008-11-24
STDCXX-1024;2008-11-15
STDCXX-1023;2008-11-13
STDCXX-1019;2008-11-01
STDCXX-1017;2008-09-26
STDCXX-1014;2008-09-06
STDCXX-1012;2008-09-06
STDCXX-1011;2008-09-06
STDCXX-1010;2008-09-05
STDCXX-1009;2008-10-14
STDCXX-1007;2008-08-20
STDCXX-1006;2008-08-16
STDCXX-999;2008-07-22
STDCXX-994;2009-05-07
STDCXX-992;2008-07-11
STDCXX-991;2008-07-11
STDCXX-990;2008-07-10
STDCXX-989;2008-07-11
STDCXX-988;2008-07-07
STDCXX-986;2008-08-01
STDCXX-976;2008-08-21
STDCXX-972;2008-06-24
STDCXX-969;2008-07-03
STDCXX-968;2008-08-05
STDCXX-955;2008-06-25
STDCXX-947;2008-06-13
STDCXX-941;2008-05-27
STDCXX-940;2008-05-20
STDCXX-938;2008-05-27
STDCXX-937;2008-05-16
STDCXX-929;2008-05-27
STDCXX-926;2008-06-13
STDCXX-925;2008-06-25
STDCXX-924;2008-06-13
STDCXX-923;2008-06-25
STDCXX-922;2008-06-13
STDCXX-921;2008-06-25
STDCXX-920;2008-06-13
STDCXX-919;2008-06-25
STDCXX-918;2008-06-13
STDCXX-917;2008-06-25
STDCXX-916;2008-06-13
STDCXX-915;2008-05-27
STDCXX-913;2008-05-07
STDCXX-911;2008-05-15
STDCXX-910;2008-05-04
STDCXX-908;2008-05-27
STDCXX-906;2008-05-06
STDCXX-905;2008-05-22
STDCXX-903;2008-05-02
STDCXX-901;2008-06-25
STDCXX-900;2008-07-15
STDCXX-898;2008-06-24
STDCXX-897;2008-05-12
STDCXX-896;2008-08-01
STDCXX-890;2008-04-23
STDCXX-886;2008-04-22
STDCXX-885;2008-05-06
STDCXX-884;2008-05-27
STDCXX-883;2008-05-01
STDCXX-882;2008-05-27
STDCXX-881;2008-05-06
STDCXX-880;2008-04-23
STDCXX-879;2008-04-18
STDCXX-874;2008-04-24
STDCXX-873;2008-04-15
STDCXX-872;2008-06-25
STDCXX-871;2008-05-14
STDCXX-870;2008-04-22
STDCXX-869;2008-04-22
STDCXX-868;2008-05-27
STDCXX-867;2008-04-18
STDCXX-865;2008-04-22
STDCXX-849;2008-04-16
STDCXX-845;2008-05-06
STDCXX-843;2008-04-16
STDCXX-842;2008-05-01
STDCXX-841;2008-04-16
STDCXX-833;2008-05-30
STDCXX-832;2008-04-24
STDCXX-831;2008-04-07
STDCXX-830;2008-04-16
STDCXX-827;2008-04-07
STDCXX-824;2008-04-16
STDCXX-818;2008-03-31
STDCXX-814;2008-04-16
STDCXX-812;2008-04-02
STDCXX-811;2008-04-16
STDCXX-810;2008-06-03
STDCXX-809;2008-04-16
STDCXX-804;2008-03-31
STDCXX-803;2008-04-16
STDCXX-799;2008-04-02
STDCXX-798;2008-04-16
STDCXX-795;2008-03-25
STDCXX-792;2008-04-16
STDCXX-791;2008-11-15
STDCXX-790;2008-04-16
STDCXX-789;2008-03-20
STDCXX-784;2008-04-16
STDCXX-783;2008-04-09
STDCXX-780;2008-08-01
STDCXX-779;2008-04-11
STDCXX-776;2008-08-05
STDCXX-775;2008-04-23
STDCXX-774;2008-04-16
STDCXX-773;2008-07-18
STDCXX-772;2008-08-05
STDCXX-770;2008-03-16
STDCXX-768;2008-04-16
STDCXX-766;2008-03-19
STDCXX-765;2008-04-16
STDCXX-763;2008-03-15
STDCXX-761;2008-04-04
STDCXX-757;2008-04-24
STDCXX-756;2008-04-23
STDCXX-755;2008-04-16
STDCXX-753;2008-04-22
STDCXX-752;2008-03-14
STDCXX-751;2008-04-11
STDCXX-750;2008-04-16
STDCXX-749;2008-04-09
STDCXX-748;2008-04-16
STDCXX-747;2008-04-23
STDCXX-746;2008-04-24
STDCXX-745;2008-04-23
STDCXX-742;2008-04-16
STDCXX-740;2008-04-02
STDCXX-738;2008-02-26
STDCXX-737;2008-02-21
STDCXX-736;2008-04-16
STDCXX-735;2008-02-20
STDCXX-733;2008-02-20
STDCXX-730;2008-02-14
STDCXX-729;2008-04-24
STDCXX-720;2008-02-09
STDCXX-716;2008-04-16
STDCXX-715;2008-03-26
STDCXX-714;2008-04-16
STDCXX-712;2008-01-28
STDCXX-711;2008-03-16
STDCXX-709;2008-04-16
STDCXX-708;2008-04-01
STDCXX-705;2008-02-01
STDCXX-704;2008-01-24
STDCXX-702;2008-03-14
STDCXX-700;2008-01-16
STDCXX-699;2008-01-16
STDCXX-698;2008-02-05
STDCXX-688;2008-06-20
STDCXX-687;2008-04-16
STDCXX-682;2008-05-14
STDCXX-676;2007-12-13
STDCXX-673;2007-12-14
STDCXX-671;2007-11-22
STDCXX-670;2008-07-01
STDCXX-669;2007-11-19
STDCXX-665;2008-03-03
STDCXX-664;2007-12-14
STDCXX-663;2007-11-22
STDCXX-662;2007-11-12
STDCXX-661;2007-11-14
STDCXX-660;2008-04-04
STDCXX-659;2007-11-09
STDCXX-658;2007-11-09
STDCXX-654;2007-11-08
STDCXX-652;2007-11-08
STDCXX-651;2007-11-08
STDCXX-650;2007-12-10
STDCXX-649;2007-11-22
STDCXX-648;2008-03-18
STDCXX-646;2008-04-16
STDCXX-645;2008-02-06
STDCXX-638;2008-04-16
STDCXX-637;2007-11-22
STDCXX-635;2008-03-16
STDCXX-634;2007-11-01
STDCXX-626;2008-01-16
STDCXX-625;2007-10-31
STDCXX-624;2007-10-29
STDCXX-621;2007-10-30
STDCXX-619;2007-10-26
STDCXX-617;2007-10-29
STDCXX-616;2007-11-08
STDCXX-615;2008-04-16
STDCXX-614;2007-10-29
STDCXX-611;2007-10-23
STDCXX-609;2007-10-22
STDCXX-607;2007-11-21
STDCXX-605;2008-01-09
STDCXX-604;2007-12-04
STDCXX-603;2007-12-07
STDCXX-601;2007-10-30
STDCXX-599;2007-10-16
STDCXX-596;2007-10-16
STDCXX-595;2008-04-16
STDCXX-594;2007-11-21
STDCXX-593;2007-10-23
STDCXX-590;2007-10-12
STDCXX-589;2007-10-12
STDCXX-588;2007-10-11
STDCXX-587;2007-10-24
STDCXX-586;2007-10-11
STDCXX-585;2007-12-19
STDCXX-584;2007-10-24
STDCXX-582;2007-10-30
STDCXX-581;2007-10-22
STDCXX-580;2007-10-24
STDCXX-579;2007-10-22
STDCXX-578;2007-10-30
STDCXX-577;2008-01-11
STDCXX-576;2007-10-04
STDCXX-575;2007-10-04
STDCXX-572;2007-09-27
STDCXX-571;2007-09-27
STDCXX-570;2007-09-21
STDCXX-568;2007-10-01
STDCXX-567;2007-09-20
STDCXX-564;2007-10-04
STDCXX-563;2008-10-13
STDCXX-561;2007-09-20
STDCXX-560;2007-10-01
STDCXX-559;2007-09-19
STDCXX-558;2007-11-21
STDCXX-557;2007-11-21
STDCXX-554;2007-09-14
STDCXX-550;2008-05-20
STDCXX-549;2007-09-12
STDCXX-548;2008-02-08
STDCXX-547;2007-09-17
STDCXX-545;2007-09-12
STDCXX-543;2007-09-13
STDCXX-542;2007-09-05
STDCXX-538;2007-08-27
STDCXX-536;2008-05-13
STDCXX-532;2007-09-05
STDCXX-531;2007-09-05
STDCXX-530;2007-08-25
STDCXX-528;2007-09-05
STDCXX-525;2007-08-23
STDCXX-524;2007-12-13
STDCXX-522;2007-08-29
STDCXX-521;2007-08-14
STDCXX-519;2007-08-13
STDCXX-517;2007-09-11
STDCXX-516;2007-09-11
STDCXX-515;2007-08-28
STDCXX-514;2007-08-09
STDCXX-513;2007-08-09
STDCXX-511;2007-09-05
STDCXX-510;2007-08-06
STDCXX-509;2007-10-19
STDCXX-508;2007-07-10
STDCXX-507;2008-03-12
STDCXX-505;2007-10-16
STDCXX-502;2007-07-25
STDCXX-501;2007-09-06
STDCXX-493;2007-09-11
STDCXX-492;2007-09-24
STDCXX-491;2007-08-03
STDCXX-488;2008-08-01
STDCXX-486;2007-07-17
STDCXX-485;2007-07-14
STDCXX-482;2007-07-10
STDCXX-481;2007-08-25
STDCXX-479;2007-07-10
STDCXX-478;2007-07-09
STDCXX-477;2007-07-08
STDCXX-475;2007-08-24
STDCXX-474;2007-07-08
STDCXX-470;2007-08-25
STDCXX-469;2007-07-06
STDCXX-466;2007-07-24
STDCXX-462;2007-06-26
STDCXX-461;2007-06-28
STDCXX-457;2007-09-19
STDCXX-455;2008-09-22
STDCXX-454;2007-06-22
STDCXX-453;2007-10-01
STDCXX-452;2007-10-01
STDCXX-448;2007-09-25
STDCXX-447;2007-06-10
STDCXX-446;2007-06-10
STDCXX-443;2007-12-13
STDCXX-440;2007-06-11
STDCXX-439;2007-06-08
STDCXX-437;2007-10-26
STDCXX-436;2007-09-08
STDCXX-435;2008-04-16
STDCXX-434;2007-06-02
STDCXX-433;2007-06-02
STDCXX-432;2007-06-02
STDCXX-431;2007-06-02
STDCXX-429;2007-06-12
STDCXX-427;2007-06-08
STDCXX-422;2007-06-06
STDCXX-421;2007-05-18
STDCXX-418;2007-09-14
STDCXX-417;2007-05-16
STDCXX-416;2007-05-15
STDCXX-414;2007-10-30
STDCXX-413;2007-09-05
STDCXX-411;2007-05-12
STDCXX-409;2007-05-10
STDCXX-407;2007-10-14
STDCXX-404;2007-09-24
STDCXX-402;2007-05-29
STDCXX-399;2007-04-30
STDCXX-398;2007-04-26
STDCXX-397;2007-04-30
STDCXX-395;2007-07-08
STDCXX-394;2007-09-13
STDCXX-393;2007-04-11
STDCXX-392;2007-04-10
STDCXX-390;2007-04-09
STDCXX-387;2007-04-08
STDCXX-386;2007-04-06
STDCXX-385;2007-04-04
STDCXX-383;2007-04-02
STDCXX-382;2007-04-02
STDCXX-379;2007-03-31
STDCXX-378;2007-05-25
STDCXX-376;2007-03-27
STDCXX-375;2008-02-08
STDCXX-371;2007-03-26
STDCXX-370;2007-03-26
STDCXX-369;2007-05-30
STDCXX-368;2007-03-23
STDCXX-364;2007-03-27
STDCXX-359;2007-03-14
STDCXX-358;2007-05-19
STDCXX-356;2007-03-14
STDCXX-354;2007-03-12
STDCXX-352;2007-04-06
STDCXX-350;2007-10-20
STDCXX-349;2007-03-08
STDCXX-346;2007-03-08
STDCXX-344;2007-08-24
STDCXX-341;2007-02-21
STDCXX-340;2007-02-19
STDCXX-339;2008-07-03
STDCXX-338;2007-05-02
STDCXX-337;2007-03-03
STDCXX-334;2007-02-07
STDCXX-331;2007-02-15
STDCXX-329;2007-02-06
STDCXX-327;2007-01-22
STDCXX-326;2007-01-19
STDCXX-324;2007-01-19
STDCXX-323;2007-01-19
STDCXX-322;2007-01-19
STDCXX-320;2007-01-19
STDCXX-318;2007-01-09
STDCXX-316;2007-01-05
STDCXX-315;2007-09-25
STDCXX-309;2006-12-11
STDCXX-308;2008-02-13
STDCXX-307;2007-11-23
STDCXX-304;2006-11-14
STDCXX-303;2006-11-14
STDCXX-300;2007-03-19
STDCXX-297;2006-10-19
STDCXX-295;2007-02-02
STDCXX-294;2006-10-04
STDCXX-293;2007-06-21
STDCXX-286;2007-03-20
STDCXX-281;2008-04-16
STDCXX-280;2006-08-28
STDCXX-279;2006-08-26
STDCXX-278;2007-10-14
STDCXX-277;2006-08-29
STDCXX-274;2006-08-13
STDCXX-271;2006-11-08
STDCXX-269;2006-08-09
STDCXX-268;2007-02-15
STDCXX-264;2006-07-31
STDCXX-262;2007-03-14
STDCXX-257;2006-07-10
STDCXX-256;2006-07-07
STDCXX-255;2006-07-10
STDCXX-254;2006-07-07
STDCXX-253;2006-07-06
STDCXX-251;2006-06-30
STDCXX-250;2007-12-19
STDCXX-249;2008-02-07
STDCXX-240;2007-12-19
STDCXX-237;2007-09-25
STDCXX-234;2007-09-06
STDCXX-231;2008-01-31
STDCXX-230;2007-02-06
STDCXX-226;2007-12-19
STDCXX-220;2007-04-26
STDCXX-216;2008-01-30
STDCXX-214;2007-03-01
STDCXX-206;2007-10-15
STDCXX-205;2006-07-11
STDCXX-203;2006-06-15
STDCXX-202;2006-06-16
STDCXX-200;2006-06-13
STDCXX-197;2006-06-20
STDCXX-195;2008-01-06
STDCXX-194;2006-06-11
STDCXX-193;2006-06-01
STDCXX-192;2006-06-01
STDCXX-191;2006-06-05
STDCXX-189;2006-06-05
STDCXX-188;2007-06-06
STDCXX-184;2006-09-06
STDCXX-179;2006-05-13
STDCXX-176;2006-05-04
STDCXX-175;2007-07-24
STDCXX-174;2006-04-20
STDCXX-168;2006-04-06
STDCXX-167;2006-03-25
STDCXX-166;2006-03-18
STDCXX-165;2006-03-18
STDCXX-164;2006-03-18
STDCXX-162;2006-03-06
STDCXX-161;2006-03-04
STDCXX-160;2006-03-03
STDCXX-159;2006-03-27
STDCXX-153;2006-02-24
STDCXX-152;2008-07-03
STDCXX-151;2006-02-20
STDCXX-149;2006-02-20
STDCXX-147;2006-02-17
STDCXX-146;2006-02-16
STDCXX-142;2006-02-25
STDCXX-140;2006-03-23
STDCXX-135;2007-06-03
STDCXX-134;2007-03-27
STDCXX-132;2006-02-08
STDCXX-131;2007-03-26
STDCXX-130;2006-02-01
STDCXX-129;2006-02-03
STDCXX-127;2007-02-15
STDCXX-126;2006-01-26
STDCXX-125;2007-07-07
STDCXX-123;2006-01-19
STDCXX-121;2006-01-18
STDCXX-120;2006-01-16
STDCXX-117;2007-05-30
STDCXX-113;2006-01-12
STDCXX-112;2007-03-27
STDCXX-109;2007-10-30
STDCXX-108;2006-01-13
STDCXX-107;2006-01-09
STDCXX-106;2006-01-09
STDCXX-105;2007-06-05
STDCXX-104;2006-01-10
STDCXX-103;2006-01-11
STDCXX-102;2006-01-09
STDCXX-101;2006-01-08
STDCXX-98;2008-03-30
STDCXX-97;2007-03-15
STDCXX-95;2006-01-07
STDCXX-93;2006-10-09
STDCXX-92;2007-03-01
STDCXX-89;2005-12-31
STDCXX-86;2005-12-08
STDCXX-84;2005-12-08
STDCXX-83;2005-12-08
STDCXX-81;2005-12-02
STDCXX-80;2005-12-02
STDCXX-76;2005-11-30
STDCXX-73;2005-12-02
STDCXX-72;2005-12-02
STDCXX-71;2005-11-23
STDCXX-70;2005-11-26
STDCXX-67;2005-11-16
STDCXX-65;2005-11-11
STDCXX-64;2005-11-08
STDCXX-63;2005-11-04
STDCXX-62;2007-03-27
STDCXX-61;2005-11-01
STDCXX-60;2005-10-27
STDCXX-59;2005-10-27
STDCXX-58;2005-10-27
STDCXX-57;2005-11-08
STDCXX-56;2005-10-19
STDCXX-55;2005-10-19
STDCXX-54;2005-10-19
STDCXX-53;2005-10-19
STDCXX-50;2005-10-19
STDCXX-49;2005-10-19
STDCXX-48;2005-10-13
STDCXX-47;2005-10-14
STDCXX-46;2005-10-14
STDCXX-45;2005-09-30
STDCXX-44;2005-09-30
STDCXX-42;2005-09-27
STDCXX-41;2005-09-29
STDCXX-40;2007-02-11
STDCXX-39;2005-09-21
STDCXX-38;2005-09-20
STDCXX-26;2005-09-19
STDCXX-25;2005-09-19
STDCXX-22;2005-09-29
STDCXX-21;2005-09-15
STDCXX-20;2007-09-18
STDCXX-19;2005-09-15
STDCXX-18;2005-09-13
STDCXX-16;2007-03-14
STDCXX-15;2005-08-28
STDCXX-12;2006-01-17
STDCXX-8;2005-07-30
STDCXX-7;2006-06-21
STDCXX-5;2005-11-25
STDCXX-4;2005-09-15
STDCXX-3;2006-10-07
STDCXX-2;2008-02-19
